squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Spezia,41,71,1.0789473684210529,1.868421052631579,38,10,6,22,26.31578947368421,15.789473684210526,57.89473684210527,-30,36,2022
Sampdoria,46,63,1.2105263157894737,1.6578947368421053,38,10,6,22,26.31578947368421,15.789473684210526,57.89473684210527,-17,36,2022
Salernitana,33,78,0.868421052631579,2.0526315789473686,38,7,10,21,18.421052631578945,26.31578947368421,55.26315789473685,-45,31,2022
Cagliari,34,68,0.8947368421052632,1.7894736842105263,38,6,12,20,15.789473684210526,31.57894736842105,52.63157894736842,-34,30,2022
Genoa,27,60,0.7105263157894737,1.5789473684210529,38,4,16,18,10.526315789473683,42.10526315789473,47.368421052631575,-33,28,2022
Venezia,34,69,0.8947368421052632,1.8157894736842104,38,6,9,23,15.789473684210526,23.684210526315788,60.526315789473685,-35,27,2022
Napoli,77,28,2.026315789473684,0.7368421052631579,38,28,6,4,73.68421052631578,15.789473684210526,10.526315789473683,49,90,2023
Lazio,60,30,1.5789473684210529,0.7894736842105263,38,22,8,8,57.89473684210527,21.052631578947366,21.052631578947366,30,74,2023
Juventus,56,33,1.4736842105263157,0.868421052631579,38,22,6,10,57.89473684210527,15.789473684210526,26.31578947368421,23,72,2023
Inter,71,42,1.868421052631579,1.105263157894737,38,23,3,12,60.526315789473685,7.894736842105263,31.57894736842105,29,72,2023
Milan,64,43,1.6842105263157894,1.131578947368421,38,20,10,8,52.63157894736842,26.31578947368421,21.052631578947366,21,70,2023
Atalanta,66,48,1.736842105263158,1.263157894736842,38,19,7,12,50.0,18.421052631578945,31.57894736842105,18,64,2023
Roma,50,38,1.3157894736842106,1.0,38,18,9,11,47.368421052631575,23.684210526315788,28.947368421052637,12,63,2023
Fiorentina,53,43,1.394736842105263,1.131578947368421,38,15,11,12,39.47368421052632,28.947368421052637,31.57894736842105,10,56,2023
Bologna,53,49,1.394736842105263,1.2894736842105263,38,14,12,12,36.84210526315789,31.57894736842105,31.57894736842105,4,54,2023
Torino,42,41,1.105263157894737,1.0789473684210529,38,14,11,13,36.84210526315789,28.947368421052637,34.21052631578947,1,53,2023
Monza,48,52,1.263157894736842,1.368421052631579,38,14,10,14,36.84210526315789,26.31578947368421,36.84210526315789,-4,52,2023
Udinese,47,48,1.236842105263158,1.263157894736842,38,11,13,14,28.947368421052637,34.21052631578947,36.84210526315789,-1,46,2023
Sassuolo,47,61,1.236842105263158,1.605263157894737,38,12,9,17,31.57894736842105,23.684210526315788,44.73684210526316,-14,45,2023
Empoli,37,49,0.9736842105263158,1.2894736842105263,38,10,13,15,26.31578947368421,34.21052631578947,39.47368421052632,-12,43,2023
Salernitana,48,62,1.263157894736842,1.631578947368421,38,9,15,14,23.684210526315788,39.47368421052632,36.84210526315789,-14,42,2023
Lecce,33,46,0.868421052631579,1.2105263157894737,38,8,12,18,21.052631578947366,31.57894736842105,47.368421052631575,-13,36,2023
Verona,31,59,0.8157894736842105,1.5526315789473684,38,7,10,21,18.421052631578945,26.31578947368421,55.26315789473685,-28,31,2023
Spezia,31,62,0.8157894736842105,1.631578947368421,38,6,13,19,15.789473684210526,34.21052631578947,50.0,-31,31,2023
Cremonese,36,69,0.9473684210526316,1.8157894736842104,38,5,12,21,13.157894736842104,31.57894736842105,55.26315789473685,-33,27,2023
Sampdoria,24,71,0.631578947368421,1.868421052631579,38,3,10,25,7.894736842105263,26.31578947368421,65.78947368421053,-47,19,2023
Inter,89,22,2.3421052631578947,0.5789473684210527,38,29,7,2,76.31578947368422,18.421052631578945,5.263157894736842,67,94,2024
Milan,76,49,2.0,1.2894736842105263,38,22,9,7,57.89473684210527,23.684210526315788,18.421052631578945,27,75,2024
Juventus,54,31,1.4210526315789471,0.8157894736842105,38,19,14,5,50.0,36.84210526315789,13.157894736842104,23,71,2024
Atalanta,72,42,1.894736842105263,1.105263157894737,38,21,6,11,55.26315789473685,15.789473684210526,28.947368421052637,30,69,2024
Bologna,54,32,1.4210526315789471,0.8421052631578947,38,18,14,6,47.368421052631575,36.84210526315789,15.789473684210526,22,68,2024
